id,nivel,nombre,turno,domicilio,colonia,alcaldia,sostenimiento,ubicacion,lat,lon,coordenadas
2750,Preescolar,CENTRO EDUCATIVO YOSEDARI,MATUTINO,CALZ. TENORIOS NO. 300,RESIDENCIAL EX-HACIENDA COAPA,TLALPAN,Particular,"CALZ. TENORIOS NO. 300, RESIDENCIAL EX-HACIENDA COAPA, TLALPAN",19.2924129,-99.1167479,"19.2924129,-99.1167479"
2751,Preescolar,COLEGIO WILLIAM JAMES / YOLLIHUE,MATUTINO,CANDELARIA NO. 152,ATLANTIDA,COYOACAN,Particular,"CANDELARIA NO. 152, ATLANTIDA, COYOACAN",19.3399758,-99.145318,"19.3399758,-99.145318"
2752,Preescolar,JIREH,MATUTINO,ARROLLO DE AHUEHUETES NO.45,LA ESCALERA,GUSTAVO A. MADERO,Particular,"ARROLLO DE AHUEHUETES NO.45, LA ESCALERA, GUSTAVO A. MADERO",19.5110842,-99.138906,"19.5110842,-99.138906"
2753,Preescolar,CENTRO EDUCATIVO MARCELINO CHAMPAGNAT,MATUTINO,EDUARDO GARAY NO. 25,MIGUEL HIDALGO,TLALPAN,Particular,"EDUARDO GARAY NO. 25, MIGUEL HIDALGO, TLALPAN",19.2858592,-99.1905749,"19.2858592,-99.1905749"
2754,Preescolar,JARDIN DE NIÑOS PIOLIN Y SILVESTRE,MATUTINO,NORTE 70 NO.6227,GERTRUDIS SANCHEZ,GUSTAVO A. MADERO,Particular,"NORTE 70 NO.6227, GERTRUDIS SANCHEZ, GUSTAVO A. MADERO",19.4710692,-99.1050546,"19.4710692,-99.1050546"
2755,Preescolar,SHARON CHRISTA MC. AULIFFE,MATUTINO,CERRO NEGRO MZ.17 LT.16,CRUZ DEL FAROL,TLALPAN,Particular,"CERRO NEGRO MZ.17 LT.16, CRUZ DEL FAROL, TLALPAN",19.2699211,-99.2130476,"19.2699211,-99.2130476"
2756,Preescolar,MI PEQUEÑO MUNDO,MATUTINO,SUR 121 NO. 248,IZTACALCO,IZTACALCO,Particular,"SUR 121 NO. 248, IZTACALCO, IZTACALCO",19.3883352,-99.1051439,"19.3883352,-99.1051439"
2757,Preescolar,COLEGIO INGLES ELIZABETH BRASH,MATUTINO,PLAZA JUAREZ NO. 5,SAN ANDRES MIXQUIC,TLAHUAC,Particular,"PLAZA JUAREZ NO. 5, SAN ANDRES MIXQUIC, TLAHUAC",19.2245881,-98.9651398,"19.2245881,-98.9651398"
2758,Preescolar,KINDER MARGARITA MORENO,MATUTINO,ÁLVARO OBREGON 2  (ANTES 20),LA MALINCHE,LA MAGDALENA CONTRERAS,Particular,"ÁLVARO OBREGON 2  (ANTES 20), LA MALINCHE, LA MAGDALENA CONTRERAS",19.3540015,-99.2138107,"19.3540015,-99.2138107"
2759,Preescolar,BABY BEE,TIEMPO COMPLETO,AV. CAMPOS ELISEOS NO. 136,BOSQUES DE CHAPULTEPEC,MIGUEL HIDALGO,Particular,"AV. CAMPOS ELISEOS NO. 136, BOSQUES DE CHAPULTEPEC, MIGUEL HIDALGO",19.427148,-99.1979599,"19.427148,-99.1979599"
2760,Preescolar,CENTRO ESCOLAR YAOCALLI,MATUTINO,CERRADA DE LEON NO. 54,MIGUEL HIDALGO,TLALPAN,Particular,"CERRADA DE LEON NO. 54, MIGUEL HIDALGO, TLALPAN",19.2905985,-99.1847215,"19.2905985,-99.1847215"
2761,Preescolar,WAYNE SKINNER,MATUTINO,ORIENTE 176 NO. 203,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA,Particular,"ORIENTE 176 NO. 203, MOCTEZUMA 2A SECCION, VENUSTIANO CARRANZA",19.4279077,-99.0950189,"19.4279077,-99.0950189"
2762,Preescolar,CENTRO DE DESARROLLO INFANTIL PRINCESS,MATUTINO,SUR 155 NO. 1919,GABRIEL RAMOS MILLAN,IZTACALCO,Particular,"SUR 155 NO. 1919, GABRIEL RAMOS MILLAN, IZTACALCO",19.3906035,-99.0960242,"19.3906035,-99.0960242"
2763,Preescolar,ESCUELA CRISTOBAL COLON,MATUTINO,CALZADA DE LOS MISTERIOS NO. 25,GUSTAVO A. MADERO,GUSTAVO A. MADERO,Particular,"CALZADA DE LOS MISTERIOS NO. 25, GUSTAVO A. MADERO, GUSTAVO A. MADERO",19.4869261,-99.1178449,"19.4869261,-99.1178449"
2764,Preescolar,CENTRO EDUCATIVO INTERKIDS,MATUTINO,AV. ACOXPA NO. 926,NARCISO MENDOZA,TLALPAN,Particular,"AV. ACOXPA NO. 926, NARCISO MENDOZA, TLALPAN",19.2898208,-99.1173172,"19.2898208,-99.1173172"
2765,Preescolar,COLEGIO ALGARI,MATUTINO,AGUSTIN DIAZ NO. 20,MIGUEL HIDALGO,TLALPAN,Particular,"AGUSTIN DIAZ NO. 20, MIGUEL HIDALGO, TLALPAN",19.2846917,-99.1891237,"19.2846917,-99.1891237"
2766,Preescolar,CENTRO EDUCATIVO ANDRES HENESTROSA,MATUTINO,AV. MEXICO NO. 934,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,Particular,"AV. MEXICO NO. 934, HEROES DE PADIERNA, LA MAGDALENA CONTRERAS",19.314338,-99.2235516,"19.314338,-99.2235516"
2767,Preescolar,INSTITUTO MEXICANO REGINA,MATUTINO,RIVERA DE CUPIA NO.70,REAL DE LAS LOMAS,MIGUEL HIDALGO,Particular,"RIVERA DE CUPIA NO.70, REAL DE LAS LOMAS, MIGUEL HIDALGO",19.3984409,-99.2389526,"19.3984409,-99.2389526"
2768,Preescolar,BÚSTER,MATUTINO,VILLA FRUELA MZ. 54 A/G SEC E LT. 1,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,Particular,"VILLA FRUELA MZ. 54 A/G SEC E LT. 1, DESARROLLO URBANO QUETZALCOATL, IZTAPALAPA",19.3259326,-99.0377718,"19.3259326,-99.0377718"
2769,Preescolar,CENTRO AZCAPOTZALCO DE DESARROLLO INTEGRAL,MATUTINO,AV. AZCAPOTZALCO NO. 486,NEXTENGO,AZCAPOTZALCO,Particular,"AV. AZCAPOTZALCO NO. 486, NEXTENGO, AZCAPOTZALCO",19.4763541,-99.1872132,"19.4763541,-99.1872132"
