Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-20;Mujer;Puente De Vallecas;Entre 26 y 35 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores;9310;Ayudantes de cocina
ene-20;Hombre;Latina;Menor de 25 años;Española;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados
ene-20;Mujer;Tetuán;Entre 36 y 45 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3613;Asistentes de dirección y administrativos;4309;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes
ene-20;Mujer;Puente De Vallecas;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;;;;
ene-20;Mujer;Puente De Vallecas;Menor de 25 años;Española;9320;Preparadores de comidas rápidas;;;;
ene-20;Hombre;Latina;Entre 26 y 35 años;Extracomunitaria;7191;Mantenedores de edificios;7510;Electricistas de la construcción y afines;7250;Mecánicos-instaladores de refrigeración y climatización
ene-20;Hombre;Vicálvaro;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9811;Peones del transporte de mercancías y descargadores;;
ene-20;Hombre;Puente De Vallecas;Entre 56 y 65 años;Española;9811;Peones del transporte de mercancías y descargadores;5833;Conserjes de edificios;8209;Montadores y ensambladores no clasificados en otros epígrafes
ene-20;Hombre;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;7313;Chapistas y caldereros;9811;Peones del transporte de mercancías y descargadores;5833;Conserjes de edificios
ene-20;Mujer;Carabanchel;Entre 36 y 45 años;Española;8153;Operadores de máquinas de coser y bordar;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Fuencarral-el Pardo;Entre 56 y 65 años;Española;;;;;;
ene-20;Mujer;Tetuán;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Usera;Entre 56 y 65 años;Extracomunitaria;5833;Conserjes de edificios;5710;Trabajadores de los cuidados personales a domicilio;9602;Peones de la construcción de edificios
ene-20;Mujer;Vicálvaro;Entre 46 y 55 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;4424;Teleoperadores;9431;Ordenanzas
ene-20;Hombre;Villaverde;Entre 46 y 55 años;Española;3124;Técnicos en electrónica (excepto electromedicina);7531;Mecánicos y reparadores de equipos electrónicos;7323;Ajustadores y operadores de máquinas-herramienta
ene-20;Mujer;Latina;Entre 26 y 35 años;Comunitaria;9229;Otro personal de limpieza;5220;Vendedores en tiendas y almacenes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-20;Hombre;San Blas;Entre 26 y 35 años;Extracomunitaria;2652;Profesionales de relaciones públicas;3532;Organizadores de conferencias y eventos;;
ene-20;Hombre;Chamberí;Entre 46 y 55 años;Española;5823;Acompañantes turísticos;9310;Ayudantes de cocina;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-20;Mujer;Vicálvaro;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;;
ene-20;Mujer;Otro Municipio;Entre 46 y 55 años;Española;5812;Especialistas en tratamientos de estética, bienestar y afines;5492;Promotores de venta;9100;Empleados domésticos
ene-20;Mujer;Fuencarral-el Pardo;Menor de 25 años;Española;1223;Directores de investigación y desarrollo;2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional);;
ene-20;Mujer;Vicálvaro;Entre 36 y 45 años;Comunitaria;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5500;Cajeros y taquilleros (excepto bancos)
ene-20;Mujer;Salamanca;Entre 56 y 65 años;Extracomunitaria;5120;Camareros asalariados;5420;Operadores de telemarketing;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Barajas;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;3202;Supervisores de la construcción;2462;Ingenieros técnicos de obras públicas
ene-20;Hombre;Puente De Vallecas;Menor de 25 años;Española;3124;Técnicos en electrónica (excepto electromedicina);;;;
ene-20;Hombre;Carabanchel;Mayor de 65 años;Extracomunitaria;5833;Conserjes de edificios;9229;Otro personal de limpieza;9811;Peones del transporte de mercancías y descargadores
ene-20;Mujer;Villaverde;Menor de 25 años;Extracomunitaria;5722;Cuidadores de niños en domicilios;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Hortaleza;Menor de 25 años;Española;;;;;;
