Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
feb-20;Mujer;San Blas;Entre 56 y 65 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4301;Grabadores de datos;5721;Cuidadores de niños en guarderías y centros educativos
feb-20;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;9811;Peones del transporte de mercancías y descargadores;7899;Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes;9820;Reponedores
feb-20;Mujer;Puente De Vallecas;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;;;;
feb-20;Hombre;Puente De Vallecas;Entre 56 y 65 años;Española;3510;Agentes y representantes comerciales;5833;Conserjes de edificios;9431;Ordenanzas
feb-20;Mujer;Vicálvaro;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
feb-20;Mujer;Vicálvaro;Entre 36 y 45 años;Española;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;;;;
feb-20;Mujer;Vicálvaro;Entre 36 y 45 años;Española;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes
feb-20;Mujer;Carabanchel;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;3724;Monitores de actividades recreativas y de entretenimiento;3613;Asistentes de dirección y administrativos
feb-20;Hombre;Otro Municipio;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;9229;Otro personal de limpieza;9602;Peones de la construcción de edificios
feb-20;Mujer;Villaverde;Entre 56 y 65 años;Española;3534;Agentes y administradores de la propiedad inmobiliaria;;;;
feb-20;Hombre;Puente De Vallecas;Menor de 25 años;Española;9811;Peones del transporte de mercancías y descargadores;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes
feb-20;Hombre;Villaverde;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Hombre;Arganzuela;Entre 56 y 65 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;9811;Peones del transporte de mercancías y descargadores;7323;Ajustadores y operadores de máquinas-herramienta
feb-20;Mujer;Tetuán;Entre 26 y 35 años;Comunitaria;5220;Vendedores en tiendas y almacenes;;;;
feb-20;Mujer;Hortaleza;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes;;
feb-20;Hombre;Tetuán;Entre 46 y 55 años;Española;5833;Conserjes de edificios;;;;
feb-20;Mujer;Centro;Entre 56 y 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9310;Ayudantes de cocina;9100;Empleados domésticos
feb-20;Hombre;Arganzuela;Entre 26 y 35 años;Española;;;;;;
feb-20;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;2922;Periodistas;2652;Profesionales de relaciones públicas;2921;Escritores
feb-20;Mujer;Otro Municipio;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;;;;
feb-20;Mujer;Villa De Vallecas;Entre 36 y 45 años;Española;9443;Barrenderos y afines;5500;Cajeros y taquilleros (excepto bancos);;
feb-20;Hombre;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;7401;Mecánicos y ajustadores de vehículos de motor;8122;Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
feb-20;Mujer;Usera;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Hombre;Carabanchel;Menor de 25 años;Comunitaria;9820;Reponedores;5220;Vendedores en tiendas y almacenes;9811;Peones del transporte de mercancías y descargadores
feb-20;Mujer;Hortaleza;Entre 36 y 45 años;Española;2323;Profesores de enseñanza no reglada de música y danza;2932;Compositores, músicos y cantantes;4411;Empleados de información al usuario
feb-20;Mujer;Villa De Vallecas;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;2451;Arquitectos (excepto arquitectos paisajistas y urbanistas);4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
feb-20;Hombre;Ciudad Lineal;Entre 46 y 55 años;Extracomunitaria;8412;Conductores asalariados de automóviles, taxis y furgonetas;7250;Mecánicos-instaladores de refrigeración y climatización;7221;Fontaneros
feb-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;4441;Cajeros de bancos y afines;3521;Mediadores y agentes de seguros;;
feb-20;Hombre;Centro;Entre 36 y 45 años;Española;2432;Ingenieros en construcción y obra civil;2462;Ingenieros técnicos de obras públicas;;
feb-20;Mujer;Vicálvaro;Entre 56 y 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5110;Cocineros asalariados;9100;Empleados domésticos
feb-20;Hombre;Villa De Vallecas;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;9811;Peones del transporte de mercancías y descargadores;5220;Vendedores en tiendas y almacenes
feb-20;Hombre;Latina;Entre 36 y 45 años;Española;9229;Otro personal de limpieza;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores
feb-20;Mujer;Otro Municipio;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;;;;
feb-20;Mujer;Tetuán;Entre 26 y 35 años;Española;9700;Peones de las industrias manufactureras;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores
feb-20;Hombre;Villa De Vallecas;Entre 46 y 55 años;Española;7191;Mantenedores de edificios;7312;Soldadores y oxicortadores;9811;Peones del transporte de mercancías y descargadores
feb-20;Mujer;Otro Municipio;Entre 36 y 45 años;Comunitaria;9229;Otro personal de limpieza;9100;Empleados domésticos;;
feb-20;Mujer;Latina;Entre 56 y 65 años;Extracomunitaria;5420;Operadores de telemarketing;9820;Reponedores;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
feb-20;Mujer;Tetuán;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
feb-20;Mujer;Ciudad Lineal;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
feb-20;Hombre;Latina;Entre 56 y 65 años;Española;7191;Mantenedores de edificios;7510;Electricistas de la construcción y afines;7250;Mecánicos-instaladores de refrigeración y climatización
feb-20;Mujer;Retiro;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
feb-20;Mujer;Villaverde;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
feb-20;Mujer;Carabanchel;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;8193;Operadores de máquinas de embalaje, embotellamiento y etiquetado;9700;Peones de las industrias manufactureras
feb-20;Mujer;Ciudad Lineal;Entre 56 y 65 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
feb-20;Mujer;Villaverde;Entre 36 y 45 años;Española;5500;Cajeros y taquilleros (excepto bancos);9820;Reponedores;9700;Peones de las industrias manufactureras
feb-20;Mujer;Chamberí;Entre 26 y 35 años;Española;3532;Organizadores de conferencias y eventos;5821;Auxiliares de vuelo y camareros de avión, barco y tren;2322;Profesores de enseñanza no reglada de idiomas
feb-20;Mujer;Villaverde;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;;;;
feb-20;Mujer;Otro Municipio;Entre 36 y 45 años;Española;5500;Cajeros y taquilleros (excepto bancos);9820;Reponedores;9700;Peones de las industrias manufactureras
feb-20;Hombre;Centro;Menor de 25 años;Española;5420;Operadores de telemarketing;;;;
feb-20;Mujer;Latina;Entre 36 y 45 años;Extracomunitaria;5420;Operadores de telemarketing;;;;
feb-20;Mujer;Ciudad Lineal;Entre 36 y 45 años;Española;5420;Operadores de telemarketing;;;;
feb-20;Mujer;Otro Municipio;Entre 56 y 65 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;;;
feb-20;Mujer;San Blas;Entre 56 y 65 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5832;Mayordomos del servicio doméstico;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Hombre;San Blas;Entre 56 y 65 años;Extracomunitaria;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
feb-20;Mujer;Usera;Menor de 25 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;9820;Reponedores;5220;Vendedores en tiendas y almacenes
feb-20;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
feb-20;Mujer;Ciudad Lineal;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9811;Peones del transporte de mercancías y descargadores
feb-20;Hombre;Carabanchel;Entre 56 y 65 años;Española;7240;Soladores, colocadores de parquet y afines;5120;Camareros asalariados;8412;Conductores asalariados de automóviles, taxis y furgonetas
feb-20;Mujer;Tetuán;Entre 36 y 45 años;Extracomunitaria;9310;Ayudantes de cocina;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes
feb-20;Hombre;Villa De Vallecas;Entre 46 y 55 años;Española;7121;Albañiles;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;5833;Conserjes de edificios
feb-20;Mujer;Tetuán;Entre 46 y 55 años;Española;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio;5120;Camareros asalariados
feb-20;Hombre;Puente De Vallecas;Entre 46 y 55 años;Española;3611;Supervisores de secretaría;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
feb-20;Hombre;Salamanca;Entre 26 y 35 años;Española;2624;Especialistas en políticas y servicios de personal y afines;;;;
feb-20;Mujer;Usera;Entre 56 y 65 años;Española;4424;Teleoperadores;;;;
feb-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;;;;
feb-20;Hombre;Villaverde;Menor de 25 años;Española;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
feb-20;Mujer;San Blas;Entre 36 y 45 años;Española;5812;Especialistas en tratamientos de estética, bienestar y afines;5220;Vendedores en tiendas y almacenes;5710;Trabajadores de los cuidados personales a domicilio
feb-20;Hombre;Otro Municipio;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;8412;Conductores asalariados de automóviles, taxis y furgonetas;9820;Reponedores
feb-20;Hombre;Otro Municipio;Entre 46 y 55 años;Comunitaria;4443;Empleados de sala de juegos y afines;7121;Albañiles;;
feb-20;Hombre;Barajas;Menor de 25 años;Extracomunitaria;9820;Reponedores;5220;Vendedores en tiendas y almacenes;9310;Ayudantes de cocina
feb-20;Hombre;Tetuán;Menor de 25 años;Española;3722;Entrenadores y árbitros de actividades deportivas;3724;Monitores de actividades recreativas y de entretenimiento;5992;Bañistas-socorristas
feb-20;Hombre;Latina;Entre 36 y 45 años;Española;3713;Profesionales de apoyo al trabajo y a la educación social;2824;Profesionales del trabajo y la educación social;2322;Profesores de enseñanza no reglada de idiomas
feb-20;Hombre;Usera;Entre 36 y 45 años;Extracomunitaria;5120;Camareros asalariados;;;;
feb-20;Hombre;Otro Municipio;Entre 36 y 45 años;Española;8432;Conductores asalariados de camiones;8412;Conductores asalariados de automóviles, taxis y furgonetas;;
feb-20;Mujer;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio;5722;Cuidadores de niños en domicilios
feb-20;Mujer;Otro Municipio;Entre 36 y 45 años;Comunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;8160;Operadores de máquinas para elaborar productos alimenticios, bebidas y tabaco;9310;Ayudantes de cocina
feb-20;Mujer;Otro Municipio;Entre 46 y 55 años;Extracomunitaria;5500;Cajeros y taquilleros (excepto bancos);4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5420;Operadores de telemarketing
feb-20;Hombre;Usera;Entre 46 y 55 años;Española;7294;Montadores-instaladores de placas de energía solar;;;;
feb-20;Mujer;Latina;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
feb-20;Mujer;Chamartín;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5722;Cuidadores de niños en domicilios
feb-20;Mujer;Villa De Vallecas;Entre 36 y 45 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);4301;Grabadores de datos
feb-20;Mujer;Salamanca;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores
feb-20;Mujer;Otro Municipio;Entre 26 y 35 años;Extracomunitaria;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes;;
feb-20;Mujer;San Blas;Entre 46 y 55 años;Española;3322;Técnicos superiores en documentación sanitaria;4412;Recepcionistas (excepto de hoteles);5492;Promotores de venta
feb-20;Mujer;Carabanchel;Entre 56 y 65 años;Española;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;2713;Analistas, programadores y diseñadores Web y multimedia
feb-20;Mujer;Villaverde;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;9820;Reponedores
feb-20;Mujer;Usera;Entre 36 y 45 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
feb-20;Mujer;Tetuán;Entre 36 y 45 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;3731;Fotógrafos;2652;Profesionales de relaciones públicas
feb-20;Mujer;Tetuán;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;9310;Ayudantes de cocina
feb-20;Hombre;Latina;Entre 46 y 55 años;Española;3510;Agentes y representantes comerciales;8412;Conductores asalariados de automóviles, taxis y furgonetas;3613;Asistentes de dirección y administrativos
feb-20;Hombre;Usera;Entre 46 y 55 años;Comunitaria;8412;Conductores asalariados de automóviles, taxis y furgonetas;7314;Montadores de estructuras metálicas;9310;Ayudantes de cocina
feb-20;Mujer;Villaverde;Entre 26 y 35 años;Extracomunitaria;9100;Empleados domésticos;5722;Cuidadores de niños en domicilios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Mujer;Arganzuela;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9820;Reponedores;5722;Cuidadores de niños en domicilios
feb-20;Hombre;Vicálvaro;Entre 46 y 55 años;Española;7191;Mantenedores de edificios;5833;Conserjes de edificios;8412;Conductores asalariados de automóviles, taxis y furgonetas
feb-20;Mujer;Carabanchel;Entre 26 y 35 años;Española;;;;;;
feb-20;Hombre;Hortaleza;Entre 46 y 55 años;Extracomunitaria;3813;Técnicos en redes;7510;Electricistas de la construcción y afines;4421;Empleados de agencias de viajes
feb-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;;
feb-20;Mujer;Otro Municipio;Entre 36 y 45 años;Comunitaria;3613;Asistentes de dirección y administrativos;3613;Asistentes de dirección y administrativos;4412;Recepcionistas (excepto de hoteles)
feb-20;Hombre;Otro Municipio;Entre 26 y 35 años;Española;5499;Vendedores no clasificados bajo otros epígrafes;;;;
feb-20;Mujer;Carabanchel;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;5722;Cuidadores de niños en domicilios
feb-20;Mujer;Latina;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio
feb-20;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;5492;Promotores de venta;;;;
feb-20;Mujer;Hortaleza;Entre 56 y 65 años;Española;5220;Vendedores en tiendas y almacenes;;;;
feb-20;Hombre;Centro;Entre 26 y 35 años;Española;2511;Abogados;3715;Animadores comunitarios;3612;Asistentes jurídico-legales
feb-20;Hombre;Carabanchel;Entre 36 y 45 años;Española;8432;Conductores asalariados de camiones;8420;Conductores de autobuses y tranvías;9700;Peones de las industrias manufactureras
feb-20;Mujer;Carabanchel;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;3510;Agentes y representantes comerciales;4424;Teleoperadores
feb-20;Hombre;Salamanca;Entre 56 y 65 años;Española;1323;Directores-gerentes de centros sanitarios;2599;Profesionales del derecho no clasificados bajo otros epígrafes;1324;Directores de servicios sociales para personas mayores
feb-20;Hombre;Latina;Entre 26 y 35 años;Española;4424;Teleoperadores;5220;Vendedores en tiendas y almacenes;9820;Reponedores
feb-20;Hombre;Villaverde;Entre 26 y 35 años;Española;5300;Comerciantes propietarios de tiendas;;;;
feb-20;Mujer;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
feb-20;Mujer;Moratalaz;Entre 26 y 35 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Mujer;Chamberí;Entre 36 y 45 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
feb-20;Hombre;Vicálvaro;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
feb-20;Hombre;Ciudad Lineal;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;;
feb-20;Hombre;Villaverde;Menor de 25 años;Española;9820;Reponedores;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos)
feb-20;Mujer;Tetuán;Entre 56 y 65 años;Española;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Mujer;Villaverde;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;;;;
feb-20;Hombre;Vicálvaro;Entre 36 y 45 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;5833;Conserjes de edificios
feb-20;Mujer;Villaverde;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad;4112;Empleados de control de personal y nóminas
feb-20;Hombre;Arganzuela;Entre 36 y 45 años;Española;9443;Barrenderos y afines;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Mujer;Villaverde;Entre 56 y 65 años;Española;4421;Empleados de agencias de viajes;3724;Monitores de actividades recreativas y de entretenimiento;;
feb-20;Hombre;San Blas;Entre 46 y 55 años;Española;2111;Médicos de familia;;;;
feb-20;Mujer;Retiro;Menor de 25 años;Española;5611;Auxiliares de enfermería hospitalaria;5611;Auxiliares de enfermería hospitalaria;5612;Auxiliares de enfermería de atención primaria
feb-20;Mujer;Latina;Entre 36 y 45 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);;
feb-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
feb-20;Hombre;San Blas;Entre 46 y 55 años;Española;5210;Jefes de sección de tiendas y almacenes;2652;Profesionales de relaciones públicas;3510;Agentes y representantes comerciales
feb-20;Hombre;Moratalaz;Entre 56 y 65 años;Española;1329;Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes;3139;Técnicos en control de procesos no clasificados bajo otros epígrafes;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
feb-20;Mujer;Centro;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5721;Cuidadores de niños en guarderías y centros educativos;4301;Grabadores de datos
feb-20;Hombre;Chamartín;Menor de 25 años;Extracomunitaria;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;;;
feb-20;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
feb-20;Mujer;Usera;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;4424;Teleoperadores;4411;Empleados de información al usuario
feb-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;9700;Peones de las industrias manufactureras;5500;Cajeros y taquilleros (excepto bancos);4424;Teleoperadores
feb-20;Mujer;Villa De Vallecas;Entre 36 y 45 años;Española;5210;Jefes de sección de tiendas y almacenes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5220;Vendedores en tiendas y almacenes
feb-20;Hombre;Arganzuela;Entre 26 y 35 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9443;Barrenderos y afines;9811;Peones del transporte de mercancías y descargadores
feb-20;Mujer;Chamartín;Mayor de 65 años;Española;4412;Recepcionistas (excepto de hoteles);2823;Psicólogos;3510;Agentes y representantes comerciales
feb-20;Hombre;Otro Municipio;Entre 46 y 55 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;7121;Albañiles;9811;Peones del transporte de mercancías y descargadores
feb-20;Hombre;Tetuán;Entre 56 y 65 años;Española;3820;Programadores informáticos;2722;Administradores de sistemas y redes;2729;Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes
feb-20;Mujer;Villaverde;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;9100;Empleados domésticos
feb-20;Mujer;Tetuán;Entre 36 y 45 años;Española;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
feb-20;Hombre;Otro Municipio;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;8412;Conductores asalariados de automóviles, taxis y furgonetas;5833;Conserjes de edificios
feb-20;Mujer;Vicálvaro;Menor de 25 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
feb-20;Hombre;Salamanca;Entre 56 y 65 años;Española;5833;Conserjes de edificios;9811;Peones del transporte de mercancías y descargadores;9811;Peones del transporte de mercancías y descargadores
feb-20;Mujer;Villaverde;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
feb-20;Hombre;Ciudad Lineal;Entre 46 y 55 años;Española;2722;Administradores de sistemas y redes;2713;Analistas, programadores y diseñadores Web y multimedia;5220;Vendedores en tiendas y almacenes
feb-20;Mujer;Puente De Vallecas;Entre 56 y 65 años;Extracomunitaria;5722;Cuidadores de niños en domicilios;9100;Empleados domésticos;9310;Ayudantes de cocina
feb-20;Mujer;Retiro;Entre 46 y 55 años;Extracomunitaria;9310;Ayudantes de cocina;7703;Panaderos, pasteleros y confiteros;5220;Vendedores en tiendas y almacenes
feb-20;Hombre;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;5992;Bañistas-socorristas;5710;Trabajadores de los cuidados personales a domicilio;5120;Camareros asalariados
feb-20;Mujer;Centro;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5811;Peluqueros;;
feb-20;Hombre;Latina;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;5220;Vendedores en tiendas y almacenes;9310;Ayudantes de cocina
feb-20;Mujer;Otro Municipio;Entre 56 y 65 años;Española;9310;Ayudantes de cocina;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-20;Mujer;Tetuán;Entre 26 y 35 años;Extracomunitaria;4424;Teleoperadores;9310;Ayudantes de cocina;5120;Camareros asalariados
feb-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;9431;Ordenanzas;2911;Archivistas y conservadores de museos;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
feb-20;Mujer;Hortaleza;Entre 46 y 55 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3613;Asistentes de dirección y administrativos;3510;Agentes y representantes comerciales
feb-20;Hombre;Otro Municipio;Entre 46 y 55 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9811;Peones del transporte de mercancías y descargadores;;
feb-20;Mujer;Ciudad Lineal;Entre 56 y 65 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
feb-20;Mujer;Hortaleza;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores;5492;Promotores de venta
feb-20;Mujer;Vicálvaro;Entre 36 y 45 años;Española;3510;Agentes y representantes comerciales;4411;Empleados de información al usuario;5420;Operadores de telemarketing
feb-20;Mujer;Usera;Menor de 25 años;Española;5722;Cuidadores de niños en domicilios;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos)
feb-20;Mujer;Chamartín;Entre 46 y 55 años;Española;2824;Profesionales del trabajo y la educación social;2825;Agentes de igualdad de oportunidades entre mujeres y hombres;3613;Asistentes de dirección y administrativos
feb-20;Mujer;Villa De Vallecas;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;4411;Empleados de información al usuario;3713;Profesionales de apoyo al trabajo y a la educación social
feb-20;Mujer;Centro;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;2322;Profesores de enseñanza no reglada de idiomas;4412;Recepcionistas (excepto de hoteles)
feb-20;Hombre;Usera;Entre 56 y 65 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;5833;Conserjes de edificios;7191;Mantenedores de edificios
feb-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;4424;Teleoperadores;9100;Empleados domésticos;9700;Peones de las industrias manufactureras
