id,nombre_del_pilar,alcaldia,nombre_y_o_ubicacion_del_inmueble,estatus_de_conectividad,fecha_de_inauguracion,numero_de_ap_internas,numero_de_ap_externas,latitud,longitud,geopoint
21,EL VIVERO,Gustavo A. Madero,"Deportivo el Vivero, Calle Blanca Estela Pavón sin número, Alcaldía Gustavo A. Madero, (55 mil m²)",CONECTADO,PRÓXIMA,5,1,19.561881,-99.126161,"19.561881,-99.126161"
22,AGRÍCOLA PANTITLÁN,Iztacalco,"Centro Cultural L.A.T.A, Iztacalco Guadalupe esquina calle uno, Col. Agrícola Pantitlán",CONECTADO,22/2/2019,2,0,19.415431,-99.068333,"19.415431,-99.068333"
23,CONSTITUCION DE 1917,Iztapalapa,"Estación De Policía Cdmx ""Constitución de 1917"", Alcaldía Iztapalapa",CONECTADO,PRÓXIMA,1,0,19.344302,-99.061208,"19.344302,-99.061208"
24,CERRO DE LA ESTRELLA,Iztapalapa,"Centro Cultural Comunitario Chocolín, Chocolín,  Paraje San Juan Cerro (402 M2)",CONECTADO,24/5/2019,2,0,19.345522,-99.081296,"19.345522,-99.081296"
25,TEPALCATES,Iztapalapa,"Centro Comunitario Tepalcates y predio Tepalcates, Primavera, Tepalcates",CONECTADO,15/2/2020,6,2,19.393019,-99.055637,"19.393019,-99.055637"
26,BAMBU,Iztapalapa,BAMBU,CONECTADO,PRÓXIMA,2,1,19.340415,-99.005283,"19.340415,-99.005283"
27,COOPEREMOS PUEBLO,Iztapalapa,"Centro Comunitario Cooperamos Pueblo, Iztapalapa Cuitláhuac, Pueblo Santa Cruz Meyehualco",CONECTADO,21/3/2019,2,0,19.341289,-99.040762,"19.341289,-99.040762"
28,SAN BERNABE (PARCELA),Magdalena Contreras,"Centro de Integración Juvenil, Calle Parcela S/N, Col. Lomas de San Bernabé (100 M2)",CONECTADO,PRÓXIMA,2,1,19.310505,-99.26487,"19.310505,-99.26487"
29,LA MALINCHE,Magdalena Contreras,"Rosa China No.11, La Malinche",CONECTADO,9/11/2019,3,0,19.323069,-99.239324,"19.323069,-99.239324"
30,XICOMULCO,Milpa Alta,"Estación De Policía Cdmx ""San Bartolomé Xicomulco"", 5 de Mayo y Benito Juárez, Colonia San Bartolomé Xicomulco",CONECTADO,7/9/2019,2,0,19.206875,-99.0711861,"19.206875,-99.0711861"
31,PAULO FREIRE,Tláhuac,"PILARES Santa Cruz, calle sta. Cruz No.127, col. Arboledas",CONECTADO,7/8/2019,2,0,19.2835917,-99.0118667,"19.2835917,-99.0118667"
32,ESCUELA PARA LA VIDA,Tláhuac,"Escuela para la Vida, SEDE San Juan Ixtayopan, lazaro cardenas 10, col la asunción.",CONECTADO,PRÓXIMA,2,0,19.244205,-98.994686,"19.244205,-98.994686"
33,DIF AJUSCO,Tlalpan,"DIF Ajusco, Carretera México al Ajusco No.642, San Miguel Ajusco",CONECTADO,PENDIENTE,4,1,19.229712,-99.195181,"19.229712,-99.195181"
34,VIADUCTO,Venustiano Carranza,"Deportivo Miguel Alemán, Viaducto Rio de la Piedad s/N, Esq. Eje 3 OTE, Col. Jardín Balbuena",CONECTADO,18/2/2020,1,1,19.407176,-99.113285,"19.407176,-99.113285"
35,TLAXIALTEMALCO,Xochimilco,"ACUEDUCTO ESQUINA CALVARIO COLONIA PUEBLO DE SAN LUIS TLAXIALTEMALCO, C.P. 16610",CONECTADO,PRÓXIMA,3,1,19.255875,-99.035707,"19.255875,-99.035707"
36,SAN LUCAS XOCHIMANCA,Xochimilco,"SECOI San Lucas Xochimanca, (99 M2 DE READECUACIÓN + OE INDEPORTE)",CONECTADO,28/5/2019,2,1,19.245058,-99.114144,"19.245058,-99.114144"
37,SANTIAGO TEPALCATLALPAN,Xochimilco,"Centro Cultural Santiago Tepalcatlalpan,Calle Camino a las Canteras No.25, Col. Santiago Tepalcatlapan (SOLO CIBERESCUELA 81.25 M2)",CONECTADO,28/5/2019,2,0,19.247969,-99.127547,"19.247969,-99.127547"
38,ACUEXCOMATL,Xochimilco,"Parque Acuexcomatl, Año de juárez 1900, Col. San Luis Tlalxialtemalco",CONECTADO,PRÓXIMA,3,1,19.261002,-99.028635,"19.261002,-99.028635"
39,TACUBA,Miguel Hidalgo,"Bajo Puente, Calz. México Tacuba y Av. Aquiles Serdán, Col. Tacuba, Alcaldía Miguel Hidalgo (900 M2)",CONECTADO,PRÓXIMA,2,1,19.460152,-99.190005,"19.460152,-99.190005"
40,DIF ADOLFO LOPEZ MATEOS,Venustiano Carranza,"Calle Fernando Roman Lugo, Venustiano s/n, Adolfo Lopez Mateos, Venustiano Carranza, 15670 Ciudad de México",CONECTADO,PRÓXIMA,2,0,19.4211424,-99.0732566,"19.4211424,-99.0732566"
41,CENDI CASAS ALEMÁN,Gustavo A. Madero,"Pto. Tampico 149, Casas Alemán, GAM, 07580, CDMX",CONECTADO,PRÓXIMA,1,1,19.4372977,-99.1425357,"19.4372977,-99.1425357"
42,CENDI TRES ESTRELLAS,Gustavo A. Madero,"Av. Tesoro 3025, Tres Estrellas, GAM, 07820, CDMX",CONECTADO,PRÓXIMA,2,1,19.4713525,-99.1108762,"19.4713525,-99.1108762"
43,ALÍ CHUMASERO,Gustavo A. Madero,"Biblioteca Pública Alí Chumasero, Plan de San Luis, La Purísima Ticoman, Gustavo A. Madero, 07320 Ciudad de México",CONECTADO,PRÓXIMA,3,2,19.512242,-99.13989,"19.512242,-99.13989"
44,ANA BOLENA,Tláhuac,"Calle Ana Bolena S/N, Col. Agricola Metropolitana (604.27 M2)",CONECTADO,PRÓXIMA,3,1,19.291943,-99.054019,"19.291943,-99.054019"
45,EL MOLINO TEZONCO,Tláhuac,"Av. Cuauhtémoc 20, El Molino Tezonco, Iztapalapa, 09960 Ciudad de México, CDMX, México",CONECTADO,PRÓXIMA,4,1,19.294874,-99.0737936,"19.294874,-99.0737936"
46,CASAS ALEMÁN,Gustavo A. Madero,"Predio Baldio, Av. Gran Canal de Desagûe S/N, Col. Casas Alemán",CONECTADO,PRÓXIMA,4,2,19.478371,-99.089908,"19.478371,-99.089908"
47,BOSQUES,Tlalpan,"Ciberescuela Bosques (terreno colindante), calle Sauce y Sabino",CONECTADO,PRÓXIMA,2,1,19.2713222,-99.2393052,"19.2713222,-99.2393052"
48,ISIDRO FABELA,Álvaro Obregón,"Antigua Via La Venta Esquina con Mondovies  colonia isidro fabela. 
Centro Social Isidro Fabela (750 M2 TERRENO)",CONECTADO,3/8/2019,2,1,19.3859,-99.2088389,"19.3859,-99.2088389"
49,OLIVAR DEL CONDE,Álvaro Obregón,"Calle 20, Olivar del Conde 1ra Secc, Álvaro Obregón, 01400 Ciudad de México, CDMX",CONECTADO,30/1/2020,2,1,19.373917,-99.204622,"19.373917,-99.204622"
50,GOMEZ FARIAS,Álvaro Obregón,Estación de policía Gomez Farías,CONECTADO,PRÓXIMA,1,0,19.380283,-99.24959,"19.380283,-99.24959"
51,CHAMONTOYA,Álvaro Obregón,azucena l-20. Col lomas de chamontoya,CONECTADO,PRÓXIMA,4,0,19.318208,-99.267811,"19.318208,-99.267811"
52,LAS AGUILAS,Álvaro Obregón,"Fraccion de terreno ubicada en Prolongación Barranca del Muerto s/n, Col. Las Aguilas, Seccion Hornos",CONECTADO,PRÓXIMA,2,1,19.37282,-99.213773,"19.37282,-99.213773"
53,EL CAPULÍN,Álvaro Obregón,"Artificios s/n, Col.El CapulínCentro de Artes y Oficios El Capulín, Álvaro Obregón",CONECTADO,8/2/2019,2,0,19.395614,-99.212233,"19.395614,-99.212233"
54,COLTONGO,Azcapotzalco,Deportivo y Módulo Coltongo (400 m2),CONECTADO,1/3/2020,3,1,19.481723,-99.153285,"19.481723,-99.153285"
55,MARGARITA MAZA DE JUÁREZ,Azcapotzalco,"CDC Margarita Maza de Juárez Amuzgos esquina Totonacas, Col.Nueva Tezozómoc 700 M2",CONECTADO,30/4/2019,2,2,19.490415,-99.199114,"19.490415,-99.199114"
56,XALLI,Azcapotzalco,"Centro de Desarrollo Comunitario Xalli, Azcapotzalco Chopo esquina Aretillo, Col. Arenal",CONECTADO,3/2/2019,3,0,19.464228,-99.151944,"19.464228,-99.151944"
57,MUNICIPIO LIBRE,Benito Juárez,"Estación De Policía Cdmx ""Municipio Libre"", Municipio Libre Y Calzada De Tlalpan, Colonia Portales Norte, 130 M2",CONECTADO,31/8/2019,1,0,19.3679694,-99.141575,"19.3679694,-99.141575"
58,EL RELOJ,Coyoacán,"Parque El Reloj, Calle Corola sin número, Colonia El Reloj, Alcaldía Coyoacán.",CONECTADO,PRÓXIMA,3,1,19.317488,-99.141059,"19.317488,-99.141059"
59,SANTA ÚRSULA,Coyoacán,"Centro de Artes Santa Úrsula, Calle San Isauro  mza 940, lote 01 (2500 M2/NIVEL) 3 NIVELES",CONECTADO,12/8/2019,2,1,19.3098583,-99.1571306,"19.3098583,-99.1571306"
60,ZENTLAPALT,Cuajimalpa de Morelos,"Puerto escondido 8, Col. Zetlapatl",CONECTADO,PRÓXIMA,3,0,19.355356,-99.309509,"19.355356,-99.309509"
61,ZONA ROSA,Cuauhtémoc,"CENDI Insurgentes, (293.63m2 Rehabilitación)",CONECTADO,PRÓXIMA,1,0,19.424677,-99165484.0,
62,CHABACANO,Cuauhtémoc,"Estación De Policía Cdmx ""San Antonio Abad"", Eje 3 SUR Esq.San Antonio Abad,  Col. Algarín, Cuauhtémoc",CONECTADO,29/1/2020,2,0,19.407965,-99.136122,"19.407965,-99.136122"
63,SEPI,Cuauhtémoc,"Callejon d ela Igualdad 19, Col Centro, Alcaldía Cuauhtémoc",CONECTADO,PRÓXIMA,2,0,19.2911028,-99.0092678,"19.2911028,-99.0092678"
64,SEDUVI,Cuauhtémoc,"Monterrey 206, Col.Roma",CONECTADO,PRÓXIMA,2,1,19.412953,-99.1627416,"19.412953,-99.1627416"
65,TOLNÁHUAC,Cuauhtémoc,"Centro Comunitario San Simón, Cuauhtémoc Avenida Insurgentes Norte s/n esquina Eje 1 Poniente, Col. San Simón Tolnáhuac",CONECTADO,1/3/2019,2,0,19.461433,-9914375.0,
66,CIEN METROS,Gustavo A. Madero,"Estación De Policía Cdmx “Cien Metros”, Av. Cien Metros y Anillo Periférico, Colonia San José de la Escalera",CONECTADO,PRÓXIMA,2,0,19.526566,-99.158889,"19.526566,-99.158889"
67,MAGDALENA DE LAS SALINAS,Gustavo A. Madero,"PTE 114, Esq. NTE 13, Col. Magdalena de la Salinas",CONECTADO,15/1/2020,3,1,19.478502,-99.14573,"19.478502,-99.14573"
68,LA MUELA,Gustavo A. Madero,"Emilio Carranza sin número, Colonia Zona Escolar Oriente, Alcaldía Gustavo A. Madero. Deportivo La Muela, (OBRA NUEVA 1200 M2)",CONECTADO,PRÓXIMA,1,3,19.532677,-99.143968,"19.532677,-99.143968"
69,PLUTARCO ELÍAS CALLES,Iztacalco,"Estación De Policía Cdmx ""Plutarco Elias Calles"", Iztacalco",CONECTADO,PRÓXIMA,1,0,19.3983024,-99.1139967,"19.3983024,-99.1139967"
70,JOSÉ MARTÍ,Iztacalco,"Centro Cibernético José Martí, Iztacalco San Miguel esquina Benito Juárez, Barrio La Asunción",CONECTADO,22/2/2019,2,0,19.39048,-99.121215,"19.39048,-99.121215"
71,RENOVACIÓN,Iztapalapa,"Módulo de Seguridad y Participación Ciudadana, Av. 9 Esq. 4 Col. Renovación (148 m2)",CONECTADO,PRÓXIMA,3,0,19.3694528,-99.0469889,"19.3694528,-99.0469889"
72,YAUTLICA,Iztapalapa,"YAUTLICA
Centro de Educación Ambiental, Avenida de las Torres s/n, Col. Zona Rústica (330.62 m2)",CONECTADO,PRÓXIMA,4,1,19.333532,-98.984321,"19.333532,-98.984321"
73,CERRO AZUL,Iztapalapa,"Estación De Policía Cdmx ""Cerro Azul"", Calle Cerro Azul Manzana 95-C, Lote 4, Colonia Buenavista 550 M2",CONECTADO,PRÓXIMA,3,1,19.326091,-99.02777,"19.326091,-99.02777"
74,ADOLFO LOPEZ MATEOS,Iztapalapa,"Centro Comunitario Adolfo López Mateos, Calle 55 sin número esquina Avenida 10 (553 m2)",CONECTADO,PRÓXIMA,5,1,19.348739,-99.04458,"19.348739,-99.04458"
75,ESCUADRON 201,Iztapalapa,"Estación De Policía Cdmx ""Escuadrón 201"", Circuito Interior Río Churubusco y Eje 3 oriente, Colonia Escuadrón 201",CONECTADO,PRÓXIMA,2,0,19.370111,-99.107905,"19.370111,-99.107905"
76,EMILIO ROSAS,Iztapalapa,"Estación De Policía Cdmx ""Emilio Rosas"", Calle 2 , Emilio RosasLote 38 Manzana 14, Supermanzana 6, Col. Vicente Guerrero , Alcaldía Iztapalapa",CONECTADO,PRÓXIMA,3,0,19.352747,-99.056347,"19.352747,-99.056347"
77,LOMAS DE ZARAGOZA,Iztapalapa,"Estación De Policía Cdmx ""Lomas de Zaragoza"", Alcaldía Iztapalapa",CONECTADO,PRÓXIMA,2,0,19.358423,-98.999942,"19.358423,-98.999942"
78,SAN MIGUEL TEOTONGO,Iztapalapa,"Casa de la Cultura San Miguel Teotongo, Av. Del Paraiso San Miguel Teotongo sección corrales",CONECTADO,24/8/2019,3,0,19.340483,-98.992478,"19.340483,-98.992478"
79,TETECÓN,Iztapalapa,"Centro Social Tetecon, Pinos, Buenavista, capulines s/n col buena vista",CONECTADO,1/10/2019,2,1,19.322458,-99.029068,"19.322458,-99.029068"
80,CARLOTA BOTEY,Iztapalapa,"Centro Comunitario Carlota Botey, Calle Verbena S/N, Col. Los Ángeles",CONECTADO,PRÓXIMA,2,2,19.340985,-99.066251,"19.340985,-99.066251"
81,ACAHUALTEPEC,Iztapalapa,"Centro Cultural Acalhuatepec, Iztapalapa Calle Oro s/n, Col.Santiago Acalhuatepec Segunda Ampliación",CONECTADO,24/2/2019,3,0,19.346043,-99.008134,"19.346043,-99.008134"
