id,nombre_del_pilar,alcaldia,nombre_y_o_ubicacion_del_inmueble,estatus_de_conectividad,fecha_de_inauguracion,numero_de_ap_internas,numero_de_ap_externas,latitud,longitud,geopoint
108,SANTA FE,Álvaro Obregón,"Corregidora S/N Centro Social Santa Fe PUEBLO SANTA FE  (558 M,2 READECUACIÓN)",CONECTADO,3/8/2019,2,1,19.3827278,-99.2404056,"19.3827278,-99.2404056"
109,LOMAS DE LA ERA,Álvaro Obregón,"Andador 29 de octubre y Alcanfores, Colonia Lomas de la Era, Alcaldía Álvaro Obregón. (250m2)",CONECTADO,3/8/2019,2,1,19.3257083,-99.2593028,"19.3257083,-99.2593028"
110,PRESIDENTES,Álvaro Obregón,Adolfo de la Huerta s/n Centro Social Presidientes (1174 M2),CONECTADO,29/9/2019,3,2,19.377159,-99.221317,"19.377159,-99.221317"
111,RIO SAN BORJA,Álvaro Obregón,Av. Rio San Borja entre calle 23 y Dolores del Rio,CONECTADO,PRÓXIMA,2,1,192232.5,991259.3,
112,SAN PEDRO XALPA,Azcapotzalco,"Centro Comunitario San Pedro Xalpa, Avenida Hidalgo número 15, Colonia San Pedro Xalpa, Alcaldía Azcapotzalco.(300M2)",CONECTADO,PRÓXIMA,1,0,19.484164,-99.209592,"19.484164,-99.209592"
113,XOCHINAHUAC,Azcapotzalco,"Estación De Policía Cdmx ""Xochinahuac”, Avenida Benito Juárez Esquina Francisco Márquez, Colonia San Martín Xochinahuac, 100 M2",CONECTADO,22/9/2019,1,0,19.509796,-99.18934,"19.509796,-99.18934"
114,PORTALES,Benito Juárez,"Fraccion bajo puente ubicada en eje 7a sur , Av. General Emiliano Zapata, cruce con calzada de tlalpan, colonia los portales",CONECTADO,PRÓXIMA,2,2,19.364405,-99.143506,"19.364405,-99.143506"
115,TAXQUEÑA,Coyoacán,Estación de Policía Taxqueña,CONECTADO,PRÓXIMA,4,1,19.341858,-99.143601,"19.341858,-99.143601"
116,LA ESCUELITA DE COYOACÁN,Coyoacán,"la escuelita de Coyoacán, Zapatistas, Col. Santo Domingo…",CONECTADO,PRÓXIMA,1,1,19.325916,-99.164899,"19.325916,-99.164899"
117,EMILIANO ZAPATA,Coyoacán,"Centro de Vinculación para Personas con Discapacidad ""Emiliano Zapata"", Coyoacán
José María Morelos N°40 esquina Pedro Arvizu, Col. Emiliano Zapata",CONECTADO,29/3/2019,2,0,19.326933,-99138056.0,
