Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S001451;19/01/2020;14:40;CTRA. PARTICULAR DEL TIRO DE PICHON;0;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;06
2020S001507;20/01/2020;21:15;PASEO. DELICIAS / CALL. DIVINO VALLES;-;ARGANZUELA;Alcance;Nublado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S001500;20/01/2020;18:05;CALL. CARTAGENA;66;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2020S001514;21/01/2020;17:00;CALL. CARCASTILLO;33;CARABANCHEL;Otro;Lluvia débil;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;07
2020S001518;21/01/2020;15:30;PLAZA. EMPERADOR CARLOS V;8;CENTRO;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;01
2020S001502;21/01/2020;14:55;CALL. VALLEHERMOSO;116;CHAMBERÍ;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2020S001484;21/01/2020;8:15;RONDA. SUR / CALL. LOS BARROS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;01
2020S002190;22/01/2020;12:35;CALL. GUETARIA / AVDA. POBLADOS;-;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;07
2020S001743;23/01/2020;16:25;CUSTA. SAN VICENTE;28;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06
2020S001905;25/01/2020;11:50;CALL. IBIZA;8;RETIRO;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S001930;26/01/2020;17:30;AVDA. FRANCISCO JAVIER SAENZ DE OIZA;5;HORTALEZA;Alcance;Nublado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;03
2020S001908;26/01/2020;7:30;CALL. GRAN VIA;43;CENTRO;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;
2020S002091;28/01/2020;20:45;AVDA. GRAN VIA DE SAN FRANCISCO / CALL. SAN BERNABE;-;CENTRO;Alcance;Se desconoce;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;
