Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S005654;14/03/2020;20:15;CALL. SAN MODESTO / CALL. SAN DACIO;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Mujer;05
2020S005665;14/03/2020;12:15;CALL. MAESTRO ARBOS / CALL. RICARDO DAMAS;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Mujer;05
2020S005708;18/03/2020;14:08;CALL. SAN BERNARDO / CALL. GRAN VIA;-;CENTRO;Colisión frontal;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;
2020S005880;01/04/2020;18:35;GTA. SANTA MARIA DE LA CABEZA / CALL. FERROCARRIL;-;ARGANZUELA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S006040;08/04/2020;19:05;CALL. MAESTRA JUSTA FREIRE / AVDA. AVIACION;-;LATINA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;
2020S006075;14/04/2020;13:50;CALL. ALFONSO XII;1;RETIRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Mujer;07
2020S006266;22/04/2020;15:46;CALL. JOAQUIN COSTA;16;CHAMARTÍN;Colisión lateral;;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S006243;22/04/2020;12:05;ELOY GONZALO-GENERAL ÁLVAREZ DE CASTRO;-;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;07
2020S006402;28/04/2020;21:05;CUSTA. SAN VICENTE;28;MONCLOA-ARAVACA;Caída;Nublado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02
2020S006529;02/05/2020;21:45;CALL. CANDILEJAS;58;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;02
2020S006515;02/05/2020;9:15;CALL. MONASTERIO DE OSEIRA; 17B;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;01
2020S006534;03/05/2020;21:45;CALL. GRAN VIA / CALL. FUENCARRAL;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;05
2020S006558;04/05/2020;20:45;PASEO. CASTELLANA;2;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;03
2020S006553;04/05/2020;18:00;CALL. NICOLAS SALMERON;21;CIUDAD LINEAL;Caída;Despejado;Bicicleta;Conductor;DE 6 A 9 AÑOS;Hombre;02
2020S006597;05/05/2020;22:03;CALL. MARQUES DE ZAFRA / PASEO. MARQUES DE ZAFRA;-;SALAMANCA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 15 A 17 AÑOS;Hombre;07
2020S006600;05/05/2020;21:45;AVDA. POBLADOS / CALL. CAMINO VIEJO DE VILLAVERDE;-;USERA;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;
2020S006579;05/05/2020;21:30;CALL. CAVANILLES;36;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;06
2020S006598;05/05/2020;20:40;CALL. PRINCIPE DE VERGARA / CALL. ARAGON;-;CHAMARTÍN;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Hombre;
2020S006668;05/05/2020;20:30;AVDA. LAS FUERZAS ARMADAS;8;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02
2020S006668;05/05/2020;20:30;AVDA. LAS FUERZAS ARMADAS;8;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2020S006783;05/05/2020;20:25;AVDA. NICETO ALCALA ZAMORA / AVDA. FRANCISCO PI Y MARGALL;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S006621;06/05/2020;22:05;CMNO. VIEJO DE VICALVARO -GLORIETA SOBRE M-40.;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;05
2020S006635;07/05/2020;21:35;CALL. EMILIO MUÑOZ / CALL. CASTILLO DE UCLES;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02
2020S006972;07/05/2020;20:20;CALL. AREQUIPA;2;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;05
2020S006640;07/05/2020;13:10;CALL. DIEGO DE LEON / CALL. PRINCIPE DE VERGARA;-;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2020S006609;07/05/2020;8:50;AVDA. MIGUEL HERNANDEZ / CALL. RAFAEL FERNANDEZ HIJICOS;-;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 45 A 49 AÑOS;Mujer;03
2020S006694;08/05/2020;21:30;PASEO. YESERIAS / CALL. ARGANDA;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07
2020S006694;08/05/2020;21:30;PASEO. YESERIAS / CALL. ARGANDA;-;ARGANZUELA;Caída;Despejado;Bicicleta;Peatón;DE 25 A 29 AÑOS;Mujer;14
2020S006696;08/05/2020;21:00;PASEO. YESERIAS / CALL. VALDELAGUNA;-;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;07
2020S006696;08/05/2020;21:00;PASEO. YESERIAS / CALL. VALDELAGUNA;-;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 25 A 29 AÑOS;Hombre;07
2020S006649;08/05/2020;13:15;CALL. OLIVAR;52;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2020S006861;08/05/2020;10:55;CALL. CORAZON DE MARIA;57;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;02
2020S006729;08/05/2020;9:15;AVDA. PAPA NEGRO;3;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;01
2020S006680;08/05/2020;8:20;CALL. PINAR DE SAN JOSE;10;CARABANCHEL;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02
2020S006701;09/05/2020;20:50;CALL. MARCELO USERA / CALL. SAN MAGIN;-;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;01
2020S006835;09/05/2020;8:50;PLAZA. FRANCISCO DE ASIS CABRERO / AVDA. JUAN ANTONIO SAMARANCH;-;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S006762;09/05/2020;7:50;CALL. ESTIBALIZ / CALL. PINTOR BRENES;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S006720;10/05/2020;23:40;CALL. BRAVO MURILLO / CALL. JUAN DE OLIAS;-;TETUÁN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S006738;10/05/2020;21:10;CALL. PORTOMARIN;5;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;02
2020S006713;10/05/2020;18:25;DOCTOR ESQUERDO;-;RETIRO;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Hombre;07
2020S006707;10/05/2020;9:35;CALL. VERSALLES; 107A;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta;Conductor;MAYOR DE 74 AÑOS;Hombre;07
2020S006707;10/05/2020;9:35;CALL. VERSALLES; 107A;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta;Peatón;DE 40 A 44 AÑOS;Mujer;07
2020S006787;11/05/2020;20:15;GTA. ANTONIO PERPIÑA / AVDA. JUAN ANTONIO SAMARANCH;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S006722;11/05/2020;8:37;CALL. ESTOCOLMO / CALL. SOFIA;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;03
2020S006848;13/05/2020;22:30;AVDA. VALDEMARIN / CALL. VALLE DE TORANZO;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;05
2020S006811;13/05/2020;21:15;CALL. RAIMUNDO FERNANDEZ VILLAVERDE;54;CHAMBERÍ;Caída;;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S006829;13/05/2020;12:26;CALL. HORTALEZA;118;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S006844;14/05/2020;15:05;CALL. SAN BERNARDO;52;CENTRO;Alcance;Nublado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S006987;15/05/2020;20:45;CALL. DUQUESA DE PARCENT;78;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;06
2020S006934;16/05/2020;21:45;CALL. CORDEL DE PAVONES;38;VICÁLVARO;Caída;Lluvia débil;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2020S006901;16/05/2020;9:45;AVDA. LLANO CASTELLANO;51;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;06
2020S006885;16/05/2020;8:20;CALL. SOFIA; 177A;SAN BLAS-CANILLEJAS;Atropello a animal;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S006936;17/05/2020;20:40;CALL. VERSALLES;125;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07
2020S006936;17/05/2020;20:40;CALL. VERSALLES;125;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06
2020S006946;17/05/2020;9:15;COLPB. MONTE DE EL PARDO;0;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06
2020S006942;17/05/2020;7:58;CALL. PROFESOR JOSE GARCIA SANTESMASES;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2020S006990;18/05/2020;21:15;CALL. ARREGUI Y ARUEJ / CALL. TRUEBA;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;05
2020S006977;18/05/2020;20:45;PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA;-;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;02
2020S006968;18/05/2020;18:43;CALL. ALONSO CANO;44;CHAMBERÍ;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 60 A 64 AÑOS;Mujer;07
2020S007004;19/05/2020;22:05;CALL. RAIMUNDO FERNANDEZ VILLAVERDE / CALL. ALONSO CANO;-;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2020S007004;19/05/2020;22:05;CALL. RAIMUNDO FERNANDEZ VILLAVERDE / CALL. ALONSO CANO;-;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;07
2020S007000;19/05/2020;20:00;CALL. SERRANO ANGUITA / CALL. HERMANOS ALVAREZ QUINTERO;-;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Hombre;02
2020S006982;19/05/2020;9:30;CALL. PRINCIPE DE VERGARA;32;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;
2020S007007;19/05/2020;8:15;ARRY. QUINTA;0;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;06
2020S007057;20/05/2020;21:00;AVDA. SANTUARIO DE VALVERDE;78;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
2020S007020;20/05/2020;14:00;CALL. MARQUES DE VIANA / CALL. BRAVO MURILLO;-;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S007040;20/05/2020;10:05;AUTOV. M-500;0;MONCLOA-ARAVACA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;
2020S007040;20/05/2020;10:05;AUTOV. M-500;0;MONCLOA-ARAVACA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 50 A 54 AÑOS;Hombre;
2020S007044;20/05/2020;8:20;CTRA. VICALVARO A RIVAS DEL JARAMA / CTRA. M-203;-;VICÁLVARO;Otro;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S007094;21/05/2020;20:40;CALL. CARRIL DEL CONDE / CALL. CAMINOS;-;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S007104;21/05/2020;20:20;CALL. SILVANO / GTA. PRAGA;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2020S007108;21/05/2020;20:20;PASEO. CASTELLANA / CALL. JOSE ORTEGA Y GASSET;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;
2020S007089;21/05/2020;9:10;AVDA. FRANCISCO JAVIER SAENZ DE OIZA / GTA. LUIS GARCIA BERLANGA;-;HORTALEZA;Caída;;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S007209;22/05/2020;23:25;CALL. ALCALA;49;CENTRO;Alcance;Nublado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2020S007137;22/05/2020;20:00;CALL. GANDIA / AUTOV. M-30;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S007165;23/05/2020;23:00;CALL. TOLEDO;132;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;06
2020S007320;23/05/2020;21:10;CALL. FRANCISCO UMBRAL;2;BARAJAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07
2020S007178;23/05/2020;21:00;PASEO. CASTELLANA;160;CHAMARTÍN;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Mujer;01
2020S007145;23/05/2020;19:50;CALL. ARROYO DE POZUELO / CALL. ANIS;-;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;02
2020S007156;23/05/2020;11:30;CALL. BARBARA DE BRAGANZA;11;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;
2020S007358;23/05/2020;9:05;CTRA. PARTICULAR DEL TIRO DE PICHON;0;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;
2020S007204;23/05/2020;9:00;AVDA.DOCTOR GARCÍA TAPIA FAROLA 33;-;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;01
2020S007204;23/05/2020;9:00;AVDA.DOCTOR GARCÍA TAPIA FAROLA 33;-;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2020S007159;23/05/2020;8:15;AVDA. MIRAFLORES;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02
2020S007186;24/05/2020;21:15;CALL. RIO / CALL. LEGANITOS;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;01
2020S007187;24/05/2020;21:00;RONDA. VALENCIA / CALL. VALENCIA;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;03
2020S007210;24/05/2020;20:25;AVDA. BLAS DE LEZO / CALL. MAYORAZGO DE DUARTE;-;VICÁLVARO;Caída;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;07
2020S007161;24/05/2020;8:45;CALL. ILDEFONSO GONZALEZ VALENCIA / AVDA. POBLADOS;-;CARABANCHEL;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2020S007244;25/05/2020;23:18;PLAZA. ENCARNACION;2;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S007274;25/05/2020;21:47;CALL. SAN BERNARDO;55;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S007230;25/05/2020;17:30;AVDA. CIUDAD DE BARCELONA;53;RETIRO;Colisión frontal;Nublado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02
2020S007222;25/05/2020;16:00;CALL. PRINCIPE DE VERGARA;31;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S007203;25/05/2020;9:10;CALL. ESCUELA DE VALLECAS / CALL. ARTE FIGURATIVO;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;01
2020S007200;25/05/2020;8:20;CALL. ALCALA; 222A;CIUDAD LINEAL;Atropello a persona;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;14
2020S007200;25/05/2020;8:20;CALL. ALCALA; 222A;CIUDAD LINEAL;Atropello a persona;Despejado;Bicicleta;Peatón;DE 35 A 39 AÑOS;Mujer;02
2020S007307;26/05/2020;21:15;CALL. CABEZA MESADA;5;VILLA DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;02
2020S007323;26/05/2020;21:10;CALL. ALTO DEL RETIRO / CALL. FERNANDO CHUECA GOITIA;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02
2020S007318;26/05/2020;20:20;PASEO. COMANDANTE FORTEA;76;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;
2020S007277;26/05/2020;16:30;CALL. FLORENCIO LLORENTE / CALL. SAMBARA;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2020S007286;26/05/2020;9:30;PNTE. REY;0;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;02
2020S007355;26/05/2020;7:15;AVDA. MANZANARES / PUNLI. ARGANZUELA;-;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;14
2020S007355;26/05/2020;7:15;AVDA. MANZANARES / PUNLI. ARGANZUELA;-;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Peatón;DE 55 A 59 AÑOS;Hombre;01
2020S007250;26/05/2020;0:50;PASEO. CASTELLANA;81;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2020S007250;26/05/2020;0:50;PASEO. CASTELLANA;81;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2020S007412;27/05/2020;22:00;GTA. FRANCISCO BAYEU Y SUBIAS;1;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06
2020S007414;27/05/2020;20:54;CALL. ALCALA;51;CENTRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Mujer;07
2020S007415;27/05/2020;19:55;AUTOV. A-42 / A-42 KM 2;-;USERA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Mujer;02
2020S007308;27/05/2020;15:00;AVDA. MIGUEL HERNANDEZ / CALL. TORREMOLINOS;-;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S007459;28/05/2020;20:30;CTRA. COLMENAR VIEJO, KM 13 (SALIDA CARRIL BICI);-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07
2020S007632;28/05/2020;19:15;CALL. JESUS FERNANDEZ SANTOS;2;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;02
2020S007356;28/05/2020;4:00;CALL. COMERCIO / CALL. TELLEZ;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2020S007352;28/05/2020;0:50;CALL. ALCALA / CALL. ANTONIO ACUÑA;-;SALAMANCA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;01
2020S007621;29/05/2020;21:25;CALL. MAYOR;59;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2020S007621;29/05/2020;21:25;CALL. MAYOR;59;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 60 A 64 AÑOS;Hombre;07
2020S007634;29/05/2020;17:10;CALL. VALDETORRES DE JARAMA;5;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;07
2020S007569;30/05/2020;22:15;CALL. AYALA / CALL. GENERAL DIAZ PORLIER;-;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 18 A 20 AÑOS;Mujer;07
2020S007567;30/05/2020;21:30;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S007567;30/05/2020;21:30;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;DE 30 A 34 AÑOS;Hombre;07
2020S007646;30/05/2020;9:50;AVDA. LAS FUERZAS ARMADAS;142;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2020S007563;30/05/2020;9:32;CTRA. ESTACION DE HORTALEZA;56;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;01
2020S007585;31/05/2020;21:27;CALL. MIGUEL ANGEL;3;CHAMBERÍ;Caída;Nublado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;05
2020S007584;31/05/2020;20:55;PLAZA. INDEPENDENCIA / C/ SERRANO;-;SALAMANCA;Caída;Nublado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;01
2020S007605;31/05/2020;14:07;AVDA. LAS FUERZAS ARMADAS;10;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;02
2020S007605;31/05/2020;14:07;AVDA. LAS FUERZAS ARMADAS;10;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 6 A 9 AÑOS;Hombre;14
2020S007559;31/05/2020;9:50;CMNO. SANTA MARIA;31;VILLA DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;01
2020S007636;01/06/2020;22:00;CALL. GANDHI;21;CIUDAD LINEAL;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S007784;01/06/2020;21:10;AVDA. LOGROÑO;16;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02
2020S007618;01/06/2020;16:40;CALL. JOSE ABASCAL;29;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;07
2020S007626;01/06/2020;16:15;CALL. GUADARRAMA;7;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S007812;02/06/2020;21:50;CALL. MANUEL POMBO ANGULO;8;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2020S007714;02/06/2020;21:40;CALL. LOPEZ DE ARANDA;30;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 6 A 9 AÑOS;Hombre;02
2020S007685;02/06/2020;21:30;CUSTA. SANTO DOMINGO;10;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;07
2020S007681;02/06/2020;21:20;CTRA. RODAJOS / CTRA. RODAJOS;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;03
2020S007678;02/06/2020;21:20;AVDA. LUIS ARAGONES;4;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;01
2020S007677;02/06/2020;20:45;CALL. CIRCE;50;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2020S007677;02/06/2020;20:45;CALL. CIRCE;50;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta;Peatón;DE 50 A 54 AÑOS;Mujer;07
2020S007679;02/06/2020;20:30;RONDA. SUR / CALL. MUDELA;-;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Hombre;01
2020S007734;03/06/2020;23:10;CALL. BRAVO MURILLO;298;TETUÁN;Alcance;Lluvia débil;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;01
2020S007762;03/06/2020;20:00;CTRA. VENTA DE LA RUBIA / AUTOV. M-40;-;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;02
2020S007724;03/06/2020;19:55;CALL. VIA CARPETANA;43;CARABANCHEL;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02
2020S007722;03/06/2020;18:45;CALL. FERRAZ / CALL. IRUN;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 18 A 20 AÑOS;Mujer;14
2020S007753;03/06/2020;13:50;CALL. HULLA;31;VILLAVERDE;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02
2020S007753;03/06/2020;13:50;CALL. HULLA;31;VILLAVERDE;Caída;Despejado;Bicicleta;Pasajero;DE 6 A 9 AÑOS;Mujer;14
