 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11304152;"Luis Francisco Canicio";"";"1";"1";"L,M,X,J,V,S,D";"";"2021-02-15 00:00:00.0";"2021-02-28 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5afeac5fc3a17710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcc7cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Rafael Altamira, antes Palacete Quinta del Berro (Salamanca)";"1";"CALLE";"ENRIQUE D'ALMONTE";"1";"SALAMANCA";"FUENTE DEL BERRO";"28028";"443760";"4474815";"40.42206601994432";"-3.662968075865235";"/contenido/actividades/Exposiciones";"";
11306884;"Luis Polo";"";"1";"0";"";"";"2021-02-05 00:00:00.0";"2021-02-05 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=28151fd1f3927710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Francisco Fatou (Villa de Vallecas)";"1";"CALLE";"MANUEL VELEZ";"10";"VILLA DE VALLECAS";"CASCO H.VALLECAS";"28031";"447107";"4470075";"40.379584618162156";"-3.623110349262379";"/contenido/actividades/Musica";"";
11224293;"L?ABE. Laboratorio de arte, bienestar y educación";"";"0";"1";"L,M,X,J,V,S,D";"";"2020-12-01 00:00:00.0";"2021-04-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=44507ca1f2ea4710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Conde Duque";"1";"CALLE";"CONDE DUQUE";"11";"CENTRO";"UNIVERSIDAD";"28015";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11312631;"Macaria, reportera literaria. El librófono";"";"1";"0";"";"";"2021-02-27 00:00:00.0";"2021-02-27 23:59:00.0";"12:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b3cae907c347710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD";"Centro Cultural Las Californias (Retiro)";"1,4";"CALLE";"LUIS PEIDRO";"2";"RETIRO";"ADELFAS";"28007";"442812";"4472042";"40.397020792322316";"-3.673881351837232";"/contenido/actividades/TeatroPerformance";"/usuario/Niños,/usuario/Familias";
11295448;"Madrid 1862-1920: Galdós, relato de un nuevo paisaje urbano";"";"1";"1";"M,X,J,V,S,D";"6/1/2021;1/5/2021;";"2020-12-29 00:00:00.0";"2021-06-30 23:59:00.0";"13:45";"En esta exposición, creación audiovisual pionera en los museos, se recrea el espacio de la sala de exposiciones temporales que los visitantes podrán recorrer en una fascinante experiencia inmersiva acercándose a pinturas, estampas, fotografías, postales y carteles pertenecientes a las colecciones del museo y que revelan, a través de un evocador viaje visual, el pasado en transformación de nuestra ciudad.   Con un impecable diseño y un avanza tecnología, por primera vez ha sido posible construir un moderno discurso expositivo que nos permite recrear e imaginar un Madrid que, anclado aún en la tradición, despertaba a la modernidad y al progreso, aquel del que Galdós fue testigo visual y emocional. El alumbrado, la llegada del agua corriente, el ferrocarril, los tranvías, la construcción del Ensanche, la mejora de las plazas o los nuevos materiales que dieron lugar a otras formas de hacer arquitectura son solo unos cuantos ejemplos de lo que esta exposición nos revela.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2ef49f87699a6710VgnVCM2000001f4a900aRCRD";"Madrid 1862-1920: Galdós, relato de un nuevo paisaje urbano";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab049f87699a6710VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f3079262ef5d010VgnVCM1000000b205a0aRCRD";"Museo de Historia de Madrid";"1,6";"CALLE";"FUENCARRAL";"78";"CENTRO";"JUSTICIA";"28004";"440550";"4475251";"40.42577054821346";"-3.700845660719608";"/contenido/actividades/Exposiciones";"";
11307745;"Magia con MAD Martín";"";"0";"0";"";"";"2021-02-20 00:00:00.0";"2021-02-20 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb411d329c837710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e6773d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural García Lorca (Carabanchel)";"1";"CALLE";"EUGENIA DE MONTIJO";"105";"CARABANCHEL";"BUENAVISTA";"28044";"436243";"4469562";"40.37420290010211";"-3.7510337449848636";"/contenido/actividades/CircoMagia";"";
11303288;"MAGIA DE CERCA";"22?";"0";"1";"J,V,S,D";"";"2021-02-11 00:00:00.0";"2021-02-21 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3910e627e4517710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=432257258ae5d010VgnVCM1000000b205a0aRCRD";"Teatro Circo Price";"1";"RONDA";"ATOCHA";"35";"ARGANZUELA";"PALOS DE MOGUER";"28012";"440723";"4473051";"40.40596423138839";"-3.698601359753866";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
10638255;"Magia de Salón. Iniciación a la magia con cuerdas. Psicología del Engaño";"";"1";"0";"";"";"2021-02-18 00:00:00.0";"2021-02-18 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7c6b7932677d1610VgnVCM2000001f4a900aRCRD";"Laboratorio de Magia. Centro Sociocultural Valverde";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d8f9c1e7ea08510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b7d168540e41c010VgnVCM2000000c205a0aRCRD";"Centro Sociocultural Alfonso XII (Fuencarral - El Pardo)";"1";"CALLE";"MIRA EL RIO";"4";"FUENCARRAL-EL PARDO";"EL PARDO";"28048";"434105";"4485730";"40.519673311658686";"-3.7779055687726535";"/contenido/actividades/CursosTalleres";"/usuario/Jovenes";
11312647;"Magia Impromptu. Historia de la Magia";"";"1";"0";"";"";"2021-04-08 00:00:00.0";"2021-04-08 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=17fdab950c347710VgnVCM2000001f4a900aRCRD";"Laboratorio de Magia. Centro Sociocultural Valverde";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d8f9c1e7ea08510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b7d168540e41c010VgnVCM2000000c205a0aRCRD";"Centro Sociocultural Alfonso XII (Fuencarral - El Pardo)";"1";"CALLE";"MIRA EL RIO";"4";"FUENCARRAL-EL PARDO";"EL PARDO";"28048";"434105";"4485730";"40.519673311658686";"-3.7779055687726535";"/contenido/actividades/CursosTalleres";"/usuario/Jovenes";
11312649;"Magia Mental. Presentación mágica de alumnos";"";"1";"0";"";"";"2021-04-22 00:00:00.0";"2021-04-22 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=29fdab950c347710VgnVCM2000001f4a900aRCRD";"Laboratorio de Magia. Centro Sociocultural Valverde";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d8f9c1e7ea08510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b7d168540e41c010VgnVCM2000000c205a0aRCRD";"Centro Sociocultural Alfonso XII (Fuencarral - El Pardo)";"1";"CALLE";"MIRA EL RIO";"4";"FUENCARRAL-EL PARDO";"EL PARDO";"28048";"434105";"4485730";"40.519673311658686";"-3.7779055687726535";"/contenido/actividades/CursosTalleres";"/usuario/Jovenes";
